Edge { left: 8211, right: 8558, weight: Weight(280) }
Edge { left: 8536, right: 8558, weight: Weight(837) }
Edge { left: 944, right: 8536, weight: Weight(650) }
Edge { left: 2588, right: 6050, weight: Weight(902) }
Edge { left: 944, right: 3971, weight: Weight(1037) }
Edge { left: 3664, right: 6071, weight: Weight(1090) }
Edge { left: 2687, right: 3664, weight: Weight(532) }
Edge { left: 2240, right: 3664, weight: Weight(1016) }
Edge { left: 2240, right: 6952, weight: Weight(175) }
Edge { left: 6952, right: 7153, weight: Weight(1088) }
Edge { left: 2048, right: 7153, weight: Weight(785) }
Edge { left: 796, right: 2048, weight: Weight(934) }
Edge { left: 796, right: 2246, weight: Weight(497) }
Edge { left: 2246, right: 4364, weight: Weight(706) }
Edge { left: 3169, right: 4364, weight: Weight(316) }
Edge { left: 3169, right: 6525, weight: Weight(264) }
Edge { left: 3025, right: 6525, weight: Weight(621) }
Edge { left: 3025, right: 4341, weight: Weight(515) }
Edge { left: 2409, right: 4341, weight: Weight(410) }
Edge { left: 2409, right: 5880, weight: Weight(486) }
Edge { left: 5880, right: 9106, weight: Weight(477) }
Edge { left: 5596, right: 9106, weight: Weight(314) }
Edge { left: 3351, right: 9106, weight: Weight(355) }
Edge { left: 3351, right: 5286, weight: Weight(217) }
Edge { left: 2473, right: 5286, weight: Weight(251) }
Edge { left: 2473, right: 7508, weight: Weight(926) }
Edge { left: 2687, right: 5660, weight: Weight(1134) }
Edge { left: 6303, right: 7153, weight: Weight(1140) }
Edge { left: 1293, right: 6303, weight: Weight(851) }
Edge { left: 1293, right: 8218, weight: Weight(830) }
Edge { left: 4983, right: 8218, weight: Weight(359) }
Edge { left: 6303, right: 7566, weight: Weight(867) }
Edge { left: 4893, right: 7566, weight: Weight(368) }
Edge { left: 3029, right: 4893, weight: Weight(1002) }
Edge { left: 3029, right: 4560, weight: Weight(491) }
Edge { left: 4983, right: 9950, weight: Weight(1097) }
Edge { left: 1470, right: 9950, weight: Weight(720) }
Edge { left: 1470, right: 7862, weight: Weight(265) }
Edge { left: 6312, right: 7862, weight: Weight(754) }
Edge { left: 6312, right: 8289, weight: Weight(449) }
Edge { left: 2293, right: 9789, weight: Weight(1146) }
Edge { left: 3786, right: 9789, weight: Weight(929) }
Edge { left: 2035, right: 3786, weight: Weight(973) }
Edge { left: 3757, right: 9049, weight: Weight(1149) }
Edge { left: 2463, right: 9049, weight: Weight(621) }
Edge { left: 837, right: 2463, weight: Weight(960) }
Edge { left: 837, right: 8419, weight: Weight(1021) }
Edge { left: 1536, right: 8419, weight: Weight(890) }
Edge { left: 1536, right: 9236, weight: Weight(1125) }
Edge { left: 2139, right: 9236, weight: Weight(880) }
Edge { left: 1536, right: 3537, weight: Weight(1139) }
Edge { left: 2309, right: 3537, weight: Weight(188) }
Edge { left: 2309, right: 6101, weight: Weight(697) }
Edge { left: 6101, right: 9832, weight: Weight(202) }
Edge { left: 4872, right: 6101, weight: Weight(302) }
Edge { left: 2163, right: 4872, weight: Weight(239) }
Edge { left: 8347, right: 9832, weight: Weight(906) }
Edge { left: 4894, right: 8347, weight: Weight(330) }
Edge { left: 5589, right: 8347, weight: Weight(882) }
Edge { left: 5589, right: 8170, weight: Weight(364) }
Edge { left: 3571, right: 7475, weight: Weight(1155) }
