Edge { left: 49, right: 603, weight: Weight(856)
Edge { left: 49, right: 964, weight: Weight(337)
Edge { left: 258, right: 603, weight: Weight(2889)
Edge { left: 258, right: 333, weight: Weight(983)
Edge { left: 238, right: 333, weight: Weight(77)
Edge { left: 238, right: 452, weight: Weight(2145)
Edge { left: 271, right: 452, weight: Weight(2797)
Edge { left: 49, right: 537, weight: Weight(2937)
Edge { left: 228, right: 537, weight: Weight(2720)
Edge { left: 228, right: 875, weight: Weight(951)
Edge { left: 228, right: 583, weight: Weight(1383)
Edge { left: 572, right: 583, weight: Weight(1931)
Edge { left: 453, right: 583, weight: Weight(2916)
Edge { left: 59, right: 453, weight: Weight(1350)
Edge { left: 5, right: 59, weight: Weight(784)
Edge { left: 5, right: 956, weight: Weight(858)
Edge { left: 59, right: 381, weight: Weight(1556)
Edge { left: 260, right: 956, weight: Weight(1788)
Edge { left: 381, right: 427, weight: Weight(1864)
Edge { left: 5, right: 340, weight: Weight(1895)
Edge { left: 260, right: 517, weight: Weight(2984)
Edge { left: 348, right: 517, weight: Weight(705)
Edge { left: 348, right: 561, weight: Weight(815)
Edge { left: 561, right: 856, weight: Weight(1701)
Edge { left: 16, right: 856, weight: Weight(1482)
Edge { left: 600, right: 892, weight: Weight(3098)
Edge { left: 88, right: 515, weight: Weight(3252)
Edge { left: 88, right: 777, weight: Weight(938)
Edge { left: 476, right: 977, weight: Weight(3300)
Edge { left: 476, right: 708, weight: Weight(2304)
Edge { left: 708, right: 992, weight: Weight(2000)
Edge { left: 235, right: 992, weight: Weight(3014)
Edge { left: 235, right: 744, weight: Weight(1729)
Edge { left: 551, right: 744, weight: Weight(2024)
Edge { left: 176, right: 551, weight: Weight(1974)
Edge { left: 70, right: 551, weight: Weight(2250)
Edge { left: 70, right: 263, weight: Weight(2307)
Edge { left: 263, right: 712, weight: Weight(518)
Edge { left: 263, right: 916, weight: Weight(1410)
Edge { left: 684, right: 916, weight: Weight(238)
Edge { left: 152, right: 712, weight: Weight(2321)
Edge { left: 97, right: 152, weight: Weight(666)
Edge { left: 684, right: 865, weight: Weight(3220)
Edge { left: 527, right: 865, weight: Weight(2224)
Edge { left: 170, right: 527, weight: Weight(774)
Edge { left: 476, right: 795, weight: Weight(3252)
Edge { left: 403, right: 795, weight: Weight(2925)
Edge { left: 138, right: 403, weight: Weight(1408)
Edge { left: 138, right: 950, weight: Weight(1787)
Edge { left: 438, right: 950, weight: Weight(2126)
Edge { left: 39, right: 438, weight: Weight(751)
Edge { left: 636, right: 917, weight: Weight(3331)
Edge { left: 271, right: 953, weight: Weight(3384)
Edge { left: 2, right: 953, weight: Weight(842)
Edge { left: 2, right: 475, weight: Weight(978)
Edge { left: 243, right: 475, weight: Weight(1014)
Edge { left: 2, right: 602, weight: Weight(2599)
Edge { left: 287, right: 602, weight: Weight(738)
Edge { left: 287, right: 762, weight: Weight(2088)
Edge { left: 762, right: 825, weight: Weight(2323)
Edge { left: 3, right: 825, weight: Weight(1860)
Edge { left: 707, right: 825, weight: Weight(1974)
Edge { left: 353, right: 707, weight: Weight(721)
Edge { left: 128, right: 353, weight: Weight(1876)
Edge { left: 128, right: 232, weight: Weight(1326)
Edge { left: 126, right: 232, weight: Weight(1546)
Edge { left: 128, right: 728, weight: Weight(2314)
Edge { left: 210, right: 728, weight: Weight(2382)
Edge { left: 3, right: 905, weight: Weight(2536)
Edge { left: 87, right: 126, weight: Weight(2621)
Edge { left: 87, right: 99, weight: Weight(2110)
Edge { left: 99, right: 175, weight: Weight(2563)
Edge { left: 268, right: 602, weight: Weight(2659)
Edge { left: 268, right: 761, weight: Weight(2400)
Edge { left: 87, right: 668, weight: Weight(2919)
Edge { left: 809, right: 905, weight: Weight(2941)
Edge { left: 412, right: 809, weight: Weight(1889)
Edge { left: 399, right: 412, weight: Weight(1713)
Edge { left: 399, right: 864, weight: Weight(1002)
Edge { left: 460, right: 761, weight: Weight(3064)
Edge { left: 762, right: 939, weight: Weight(3165)
Edge { left: 727, right: 939, weight: Weight(1620)
Edge { left: 471, right: 727, weight: Weight(2081)
Edge { left: 778, right: 939, weight: Weight(2329)
Edge { left: 778, right: 799, weight: Weight(1555)
Edge { left: 81, right: 778, weight: Weight(2962)
Edge { left: 81, right: 323, weight: Weight(1702)
Edge { left: 216, right: 471, weight: Weight(2998)
Edge { left: 93, right: 216, weight: Weight(2528)
Edge { left: 93, right: 566, weight: Weight(2496)
Edge { left: 230, right: 412, weight: Weight(3179)
Edge { left: 562, right: 905, weight: Weight(3386)
Edge { left: 145, right: 562, weight: Weight(516)
Edge { left: 145, right: 830, weight: Weight(1235)
Edge { left: 145, right: 257, weight: Weight(1730)
Edge { left: 257, right: 874, weight: Weight(390)
Edge { left: 405, right: 874, weight: Weight(2712)
Edge { left: 257, right: 454, weight: Weight(3193)
Edge { left: 454, right: 552, weight: Weight(1046)
Edge { left: 272, right: 552, weight: Weight(489)
Edge { left: 454, right: 581, weight: Weight(1366)
Edge { left: 272, right: 797, weight: Weight(2648)
Edge { left: 650, right: 797, weight: Weight(2281)
Edge { left: 87, right: 821, weight: Weight(3399)
Edge { left: 821, right: 894, weight: Weight(1194)
Edge { left: 886, right: 894, weight: Weight(2442)
Edge { left: 301, right: 340, weight: Weight(3453)
